12587764829200,12587837598500,12587842496900,12587890393500,12587892886100,1,0,0
12588552695300,12588586224900,12588586382400,12588586443500,12588586537100,0,0,0
12591585608600,12591635748500,12591635919000,12591635963700,12591636016500,1,0,0
12593605514600,12593700633200,12593700775500,12593700854700,12593700901500,0,0,0
12594613691400,12594679733200,12594679880700,12594679918800,12594679967500,1,0,0
12596639595000,12596751806700,12596751916600,12596752018100,12596752079500,0,0,0
12597653832500,12597734818400,12597735021500,12597735062600,12597735141400,1,0,0
12598666021900,12598714857000,12598714944500,12598715003400,12598715054200,0,0,0
12600683657600,12600780008100,12600780199200,12600780247000,12600780295900,1,0,0
12602701259000,12602733632200,12602733718100,12602733782400,12602733855700,0,0,0
12603711926700,12603823802600,12603823940500,12603823970100,12603824000000,1,0,0
12604721513100,12604802312400,12604802428300,12604802479300,12604802527500,0,0,0
12605729577300,12605779315200,12605779450800,12605779487400,12605779524500,1,0,0
12606737863300,12606756523700,12606756608700,12606756642800,12606756678200,0,0,0
12607750308100,12607844568600,12607844788400,12607844838700,12607844888000,1,0,0
12608757946200,12608821712600,12608821794100,12608822073600,12608822237000,0,0,0
12609766879000,12609800779700,12609800927800,12609800966900,12609801004300,1,0,0
12610778741300,12610890297800,12610890394300,12610890443700,12610890481300,0,0,0
12611789998900,12611870111900,12611870309400,12611870352200,12611870398600,1,0,0
12612804840900,12612854587400,12612854728100,12612854774200,12612854835200,0,0,0
12613816460400,12613834788000,12613835047400,12613835091400,12613835120800,1,0,0
12614825157900,12614920825800,12614920934800,12614920964200,12614921014700,0,0,0
12615833818200,12615898602800,12615898773900,12615898827800,12615898893600,1,0,0
12616844732200,12616878744200,12616878862000,12616878917700,12616878945200,0,0,0
12617854784200,12617965075500,12617965278000,12617965366500,12617965445500,1,0,0
12618867018700,12618946809200,12618946917000,12618946947400,12618946980600,0,0,0
12619878676700,12619928095500,12619928228400,12619928262400,12619928301000,1,0,0
12620890531200,12620907129800,12620907254000,12620907316200,12620907363200,0,0,0
12621898107800,12621993516500,12621993784500,12621993890400,12621993945400,1,0,0
12622909467900,12622973345300,12622973500000,12622973543000,12622973584400,0,0,0
12623920146900,12623955425000,12623955563300,12623955606000,12623955635800,1,0,0
12624928965900,12625040874800,12625040947800,12625040981100,12625041006600,0,0,0
12625941045800,12626022140200,12626022314600,12626022358500,12626022403000,1,0,0
12627964570900,12627981898900,12627982004600,12627982042000,12627982080900,0,0,0
12628978005600,12629075883900,12629076039700,12629076071700,12629076107200,1,0,0
12629992328000,12630055815600,12630055892200,12630055927100,12630055962900,0,0,0
12630998234000,12631034656700,12631034815200,12631034875400,12631034912300,1,0,0
12632012704400,12632123660300,12632123758000,12632123783600,12632123845600,0,0,0
12633022741000,12633101830400,12633101969700,12633101994200,12633102019000,1,0,0
12634029519700,12634078313400,12634078477100,12634078551200,12634078617700,0,0,0
12635041766700,12635059636700,12635059808300,12635059829900,12635059851300,1,0,0
12636052362000,12636146535000,12636146597600,12636146629100,12636146663800,0,0,0
12637065403500,12637130540800,12637130661300,12637130690200,12637130731000,1,0,0
12638079225400,12638111891900,12638111965900,12638111987600,12638112008900,0,0,0
12639086333400,12639197355100,12639197477100,12639197497200,12639197519600,1,0,0
