2474572855200,2474577942300,2474581240800,2474584340100,0
2474584656500,2474584713300,2474584737700,2474584776000,0
2474584934800,2474584990800,2474585035900,2474585115500,0
2474585213300,2474585247900,2474585268900,2474585303900,0
2474585385600,2474585418000,2474585439300,2474585472500,0
2474585560000,2474585613000,2474585644900,2474585687900,0
2474585777000,2474585816700,2474585845100,2474585883600,0
2474585963800,2474586021000,2474586063400,2474586116400,0
2474586381800,2474586464700,2474586486200,2474586622800,0
2474587580200,2474587637400,2474587663700,2474587704900,0
2474587846100,2474587887700,2474587908700,2474587942700,0
2474588051100,2474588083000,2474588106500,2474588143400,0
2474588219900,2474588253000,2474588272200,2474588303100,0
2474588379900,2474588414800,2474588435700,2474588481400,0
2474588572600,2474588607900,2474588625700,2474588661200,0
2474588736800,2474588770900,2474588790800,2474589055300,0
2474589156000,2474589193200,2474589216400,2474589261600,0
2474589341100,2474589376500,2474589400300,2474589429500,0
2474589507000,2474589537200,2474589557200,2474589586500,0
2474589659000,2474589693100,2474589713800,2474589743900,0
2474589823100,2474589885400,2474589963300,2474590054100,0
2474590158600,2474590213800,2474590233500,2474590263900,0
2474590378000,2474590428300,2474590485200,2474590524000,0
2474590607200,2474590654600,2474590674100,2474590704800,0
2474590807600,2474590837900,2474590856900,2474590885000,0
2474590953700,2474590989100,2474591009100,2474591038600,0
2474591110200,2474591139800,2474591156700,2474591253300,0
2474591340400,2474591375000,2474591396000,2474591429200,0
2474591502400,2474591541000,2474591574400,2474591600900,0
2474591667500,2474591699000,2474591718200,2474591747900,0
2474591839700,2474591882000,2474591898600,2474591927200,0
2474591992700,2474592024000,2474592040400,2474592067000,0
2474592138300,2474592166200,2474592216500,2474592251900,0
2474592319400,2474592345100,2474592362600,2474592385100,0
2474592449800,2474592497900,2474592513200,2474592553700,0
2474592623700,2474592660100,2474592674000,2474592698700,0
2474592764600,2474592789600,2474592827300,2474592863700,0
2474592930200,2474592958600,2474592974800,2474593016500,0
2474593095100,2474593119000,2474593132000,2474593153800,0
2474593217800,2474593245800,2474593259600,2474593279900,0
2474593346600,2474593396700,2474593419400,2474593460400,0
2474593543900,2474593568500,2474593595600,2474593621400,0
2474593709100,2474593740400,2474593755000,2474593775900,0
2474593849300,2474593895200,2474593910200,2474593931900,0
2474593996300,2474594019300,2474594031600,2474594052500,0
2474594154700,2474594179100,2474594191600,2474594214200,0
2474594347800,2474594372500,2474594385200,2474594406300,0
2474594471500,2474594521200,2474594550700,2474594572700,0
2474594640000,2474594665800,2474594681500,2474594701200,0
2474594768000,2474594814500,2474599649200,2474665485300,1
2474665584600,2474665650000,2474667773100,2474667926600,0
2474668060700,2474668107300,2474672635600,2474677969300,1
2474678072200,2474678091600,2474679468400,2474679536500,0
2474679638200,2474679659900,2474682764800,2474688788700,1
2474688953800,2474688991600,2474690830000,2474690908200,0
2474691031600,2474691058900,2474694854800,2474698920600,1
2474699044000,2474699065000,2474701205000,2474701272300,0
2474701371000,2474701397500,2474704863900,2474707100700,1
2474707211800,2474707235700,2474708562500,2474708611200,0
2474708690600,2474708709800,2474711348700,2474714413100,1
2474714515600,2474714533500,2474715882100,2474715935100,0
2474716032300,2474716051600,2474718632400,2474721986100,1
2474722089400,2474722106400,2474723540800,2474723607300,0
2474723698500,2474723716100,2474727525300,2474729771200,1
2474729853500,2474729870300,2474731396800,2474731468400,0
2474731596700,2474731617700,2474735931700,2474738145400,1
2474738247100,2474738263400,2474739545700,2474739598500,0
2474739674000,2474739691400,2474742754600,2474745344600,1
2474745486600,2474745511500,2474747194700,2474747265800,0
2474747387500,2474747415300,2474750193400,2474753126600,1
2474753282700,2474753305600,2474755250200,2474755382800,0
2474755617500,2474755671600,2474759225900,2474761092900,1
2474761213200,2474761229200,2474762676800,2474762740500,0
2474762933600,2474762946800,2474765656600,2474767760900,1
2474767880400,2474767895400,2474769587700,2474769664500,0
2474769773100,2474769787800,2474773116700,2474775141000,1
2474775259100,2474775276600,2474776729400,2474776796500,0
2474776896300,2474776917700,2474780380000,2474782145100,1
2474782257100,2474782280900,2474784115000,2474784189900,0
2474784283700,2474784296600,2474787843100,2474789724700,1
2474789856000,2474789871600,2474791326300,2474791385200,0
2474791484900,2474791514100,2474794259400,2474796212700,1
2474796332100,2474796348000,2474798104000,2474798202400,0
2474798394000,2474798419100,2474802994300,2474805377300,1
2474805497300,2474805512000,2474807151400,2474807227200,0
2474807342300,2474807376700,2474811341300,2474813488700,1
2474813684400,2474813706300,2474815223500,2474815282100,0
2474815374900,2474815387800,2474818676700,2474820124600,1
2474820246100,2474820266000,2474822316800,2474822399400,0
2474822513100,2474822528000,2474826059300,2474827450700,1
2474827588300,2474827602900,2474829334800,2474829433100,0
2474829549100,2474829562900,2474833128200,2474834411600,1
2474834541400,2474834555000,2474835833200,2474835881300,0
2474835960200,2474835986800,2474838652000,2474839960100,1
2474840109400,2474840125000,2474841985400,2474842094300,0
2474842299100,2474842392800,2474845904800,2474847974300,1
2474848096600,2474848109800,2474849823300,2474849913900,0
2474850085400,2474850106300,2474854643400,2474855927900,1
2474856086700,2474856109500,2474857848600,2474857912800,0
2474858030500,2474858044100,2474863097300,2474864353000,1
