37571835662958,37571835664166,0
37571839369833,37571839370416,0
37571839722208,37571839722583,0
37571841517083,37571843673958,1
37571860724375,37571861370708,0
37571862807208,37571864182583,1
37571867879666,37571868418000,0
37571869987750,37571871461416,1
37571873895625,37571874389541,0
37571875683958,37571876921416,1
37571879310416,37571879791583,0
37571880752708,37571881719708,1
37571883550041,37571884058041,0
37571886032791,37571887055500,1
37571889215375,37571889765833,0
37571890707708,37571891637416,1
37571893575500,37571894143250,0
37571895098625,37571896283583,1
37571899187166,37571899740375,0
37571900874750,37571902934291,1
37571904865583,37571905286333,0
37571906348333,37571907283625,1
37571909465916,37571910020416,0
37571910928125,37571911861083,1
37571913816083,37571914330833,0
37571915514125,37571916764250,1
37571918549250,37571919126291,0
37571919999500,37571920901708,1
37571922752500,37571923307291,0
37571924181791,37571925065666,1
37571926652166,37571927084166,0
37571927871708,37571928680458,1
37571930253583,37571930666791,0
37571931712708,37571932504333,1
37571934023791,37571934397583,0
37571935162000,37571936006083,1
37571937514625,37571937951875,0
37571938733333,37571939544541,1
37571940960833,37571941351250,0
37571942076875,37571942834625,1
37571944192208,37571944545916,0
37571945282000,37571946071375,1
37571947445500,37571947783458,0
37571948475458,37571949230375,1
37571950534958,37571950882916,0
37571951579041,37571952331708,1
37571953680791,37571954053916,0
37571954894333,37571955728416,1
37571957166666,37571957533708,0
37571958291666,37571959070291,1
37571960875833,37571961211166,0
37571961926750,37571962675083,1
37571965053125,37571965428083,0
37571966271833,37571967006083,1
