37571825089583,37571825097250,0
37571839192916,37571839194041,0
37571839605166,37571839605833,0
37571839885500,37571841331500,1
37571859354375,37571860548000,0
37571861555083,37571862607416,1
37571866881083,37571867749208,0
37571868557625,37571869633041,1
37571873225750,37571873771833,0
37571874586333,37571875522666,1
37571878453333,37571879171500,0
37571879917583,37571880624750,1
37571883010875,37571883448250,0
37571884204041,37571885879291,1
37571888629458,37571889120083,0
37571889883166,37571890591416,1
37571892904250,37571893468833,0
37571894274625,37571894983000,1
37571897534666,37571899082500,0
37571899855875,37571900768666,1
37571904208500,37571904769416,0
37571905393000,37571906220875,1
37571908530541,37571909378416,0
37571910128291,37571910818875,1
37571913062041,37571913714833,0
37571914448708,37571915390958,1
37571917923541,37571918466458,0
37571919235750,37571919889500,1
37571922120708,37571922670916,0
37571923431541,37571924075375,1
37571926182000,37571926581125,0
37571927196625,37571927777291,1
37571929770958,37571930150791,0
37571930989333,37571931616708,1
37571933551833,37571933952916,0
37571934487125,37571935077750,1
37571937080000,37571937453250,0
37571938050375,37571938647875,1
37571940521750,37571940901041,0
37571941442541,37571941992666,1
37571943789875,37571944137625,0
37571944623791,37571945190375,1
37571947028291,37571947389416,0
37571947857458,37571948384875,1
37571950126708,37571950480083,0
37571950958541,37571951502166,1
37571953263000,37571953620500,0
37571954123000,37571954799208,1
37571956686333,37571957107916,0
37571957610875,37571958217666,1
37571960326666,37571960813041,0
37571961287916,37571961847875,1
37571963633000,37571964996750,0
37571965640166,37571966191541,1
