,0
0,5889700
1,209000
2,385100
3,85600
4,80200
5,78000
6,107000
7,48700
8,79100
9,48000
10,97900
11,47700
12,78200
13,71400
14,75100
15,94700
16,222000
17,47200
18,161800
19,45800
20,79200
21,46800
22,65900
23,46500
24,164300
25,68500
26,74100
27,67000
28,224200
29,63400
30,178000
31,47500
32,60300
33,55300
34,57300
35,131900
36,86100
37,41700
38,44900
39,45500
40,81100
41,108200
42,63600
43,45700
44,40200
45,39000
46,158900
47,42500
48,53300
49,44200
50,53900
51,37000
52,40500
53,33300
54,59700
55,65800
56,122700
57,33300
58,57500
59,37700
60,140900
61,38200
62,48300
63,59200
64,90800
65,34600
66,95400
67,37500
68,105400
69,93600
70,40700
71,57400
72,28300
73,29000
74,30300
75,25400
76,82200
77,29500
78,86900
79,39200
80,110300
81,29700
82,48900
83,24800
84,204500
85,25800
86,100300
87,29400
88,37800
89,40100
90,139500
91,33500
92,40700
93,40800
94,52500
95,78100
96,32700
97,30900
98,41400
99,33900
