,0
0,3298500
1,24400
2,45100
3,21000
4,21300
5,31900
6,28400
7,42400
8,21500
9,26300
10,21000
11,23500
12,19200
13,20900
14,17800
15,19900
16,23200
17,23800
18,20000
19,20700
20,77900
21,19700
22,56900
23,19500
24,19000
25,20000
26,16900
27,21000
28,33400
29,19200
30,16600
31,16400
32,50300
33,17500
34,15300
35,13900
36,37700
37,16200
38,13000
39,13800
40,22700
41,27100
42,14600
43,15000
44,12300
45,12500
46,12700
47,29500
48,15700
49,4834700
50,2123100
51,4528300
52,1376800
53,3104900
54,1838400
55,3795900
56,2140000
57,3466400
58,1326800
59,2638900
60,1348600
61,2580800
62,1434400
63,3809200
64,1526500
65,4314000
66,1282300
67,3063200
68,1683200
69,2778100
70,1944600
71,3554300
72,1447600
73,2709800
74,1692300
75,3328900
76,1452800
77,3462300
78,1834100
79,3546500
80,1454700
81,2745300
82,1756000
83,4575200
84,1639400
85,3964600
86,1517200
87,3288900
88,2050800
89,3531300
90,1731900
91,3565300
92,1278200
93,2665200
94,1860400
95,3512000
96,1713500
97,4537100
98,1739100
99,5053200
